District,Season,Evapotranspiration,RecordCount
Ampara,Apr-Aug,4.8740841248303965,2211
Ampara,Sep-Mar,3.7999967341606746,3062
Anuradhapura,Apr-Aug,4.757299864314797,2211
Anuradhapura,Sep-Mar,3.8852057478772046,3062
Badulla,Apr-Aug,4.40969244685663,2211
Badulla,Sep-Mar,3.545774003919002,3062
Bandarawela,Apr-Aug,3.91542288557214,2211
Bandarawela,Sep-Mar,3.4297877204441467,3062
Batticaloa,Apr-Aug,5.028701944821341,2211
Batticaloa,Sep-Mar,3.924924885695618,3062
Colombo,Apr-Aug,3.6391768430574363,2211
Colombo,Sep-Mar,3.814346832135855,3062
Galle,Apr-Aug,3.9203120759837167,2211
Galle,Sep-Mar,3.865094709340305,3062
Gampaha,Apr-Aug,3.594884667571234,2211
Gampaha,Sep-Mar,3.8763063357282848,3062
Hambantota,Apr-Aug,4.9473857982813145,2211
Hambantota,Sep-Mar,4.371035271064656,3062
Jaffna,Apr-Aug,5.204776119402992,2211
Jaffna,Sep-Mar,4.3129065969954254,3062
Kalutara,Apr-Aug,3.649045680687465,2211
Kalutara,Sep-Mar,3.7605486610058803,3062
Kandy,Apr-Aug,3.785463591135227,2211
Kandy,Sep-Mar,3.665035924232516,3062
Kegalle,Apr-Aug,3.6006919945725975,2211
Kegalle,Sep-Mar,3.8169627694317465,3062
Kilinochchi[1],Apr-Aug,5.659194934418823,2211
Kilinochchi[1],Sep-Mar,4.261583932070535,3062
Kurunegala,Apr-Aug,3.8438037087290766,2211
Kurunegala,Sep-Mar,3.9346538210320166,3062
Mannar,Apr-Aug,5.285413839891462,2211
Mannar,Sep-Mar,4.384591770084905,3062
Matale,Apr-Aug,3.9505563093622804,2211
Matale,Sep-Mar,3.762416721097326,3062
Matara,Apr-Aug,3.974690185436467,2211
Matara,Sep-Mar,3.963579359895494,3062
Moneragala,Apr-Aug,4.696951605608322,2211
Moneragala,Sep-Mar,3.8398269105159937,3062
Mullaitivu,Apr-Aug,5.6241474445952155,2211
Mullaitivu,Sep-Mar,4.2674003919007255,3062
Nuwara Eliya,Apr-Aug,3.2327137042062404,2211
Nuwara Eliya,Sep-Mar,3.1491606792945825,3062
Polonnaruwa,Apr-Aug,5.713184079601993,2211
Polonnaruwa,Sep-Mar,4.0113716525146925,3062
Puttalam,Apr-Aug,4.237937584803256,2211
Puttalam,Sep-Mar,4.019314173742645,3062
Ratnapura,Apr-Aug,3.3212392582541788,2211
Ratnapura,Sep-Mar,3.5609046374918316,3062
Trincomalee,Apr-Aug,5.687069199457263,2211
Trincomalee,Sep-Mar,4.203638145003268,3062
Vavuniya,Apr-Aug,5.179837177747631,2211
Vavuniya,Sep-Mar,3.95704768125407,3062
Welimada,Apr-Aug,4.114572591587516,2211
Welimada,Sep-Mar,3.422034617896794,3062
